City,DAUID,City Area
Halifax,12090296,Downtown
Halifax,12090297,Downtown
Halifax,12090298,Downtown
Halifax,12090340,Downtown
Halifax,12090341,Downtown
Halifax,12090342,Downtown
Halifax,12090343,Downtown
Halifax,12090344,Downtown
Halifax,12090345,Downtown
Halifax,12090346,Downtown
Halifax,12090347,Downtown
Halifax,12090356,Downtown
Halifax,12090357,Downtown
Halifax,12090358,Downtown
Halifax,12090359,Downtown
Halifax,12090572,Downtown
Halifax,12090853,Downtown
Halifax,12090854,Downtown
Halifax,12090855,Downtown
Halifax,12090856,Downtown
Halifax,12090858,Downtown
Halifax,12090860,Downtown
Halifax,12090863,Downtown
Halifax,12090864,Downtown
Halifax,12090865,Downtown
Halifax,12090866,Downtown
Halifax,12090867,Downtown
Halifax,12090868,Downtown
Halifax,12090934,Downtown
Halifax,12090936,Downtown
Halifax,12090963,Downtown
Halifax,12090965,Downtown
Moncton,13070070,Downtown
Moncton,13070071,Downtown
Moncton,13070117,Downtown
Moncton,13070119,Downtown
Moncton,13070122,Downtown
Moncton,13070123,Downtown
Moncton,13070124,Downtown
Moncton,13070125,Downtown
Moncton,13070126,Downtown
Moncton,13070127,Downtown
Moncton,13070128,Downtown
Moncton,13070129,Downtown
Moncton,13070130,Downtown
Moncton,13070131,Downtown
Moncton,13070132,Downtown
Moncton,13070133,Downtown
Moncton,13070134,Downtown
Fredericton,13100175,Downtown
Fredericton,13100176,Downtown
Fredericton,13100177,Downtown
Fredericton,13100178,Downtown
Fredericton,13100190,Downtown
Fredericton,13100191,Downtown
Fredericton,13100201,Downtown
Fredericton,13100203,Downtown
Fredericton,13100204,Downtown
Fredericton,13100205,Downtown
Fredericton,13100206,Downtown
Fredericton,13100207,Downtown
Fredericton,13100208,Downtown
Fredericton,13100209,Downtown
Fredericton,13100210,Downtown
Fredericton,13100211,Downtown
Fredericton,13100212,Downtown
Fredericton,13100213,Downtown
Fredericton,13100243,Downtown
Fredericton,13100318,Downtown
Fredericton,13100319,Downtown
Fredericton,13100320,Downtown
Quebec City,24230152,Downtown
Quebec City,24230153,Downtown
Quebec City,24230154,Downtown
Quebec City,24230155,Downtown
Quebec City,24230158,Downtown
Quebec City,24230159,Downtown
Quebec City,24230160,Downtown
Quebec City,24230161,Downtown
Quebec City,24230163,Downtown
Quebec City,24230165,Downtown
Quebec City,24230166,Downtown
Quebec City,24230167,Downtown
Quebec City,24230168,Downtown
Quebec City,24230169,Downtown
Quebec City,24230170,Downtown
Quebec City,24230171,Downtown
Quebec City,24230172,Downtown
Quebec City,24230173,Downtown
Quebec City,24230174,Downtown
Quebec City,24230175,Downtown
Quebec City,24230176,Downtown
Quebec City,24230177,Downtown
Quebec City,24230178,Downtown
Quebec City,24230179,Downtown
Quebec City,24230180,Downtown
Quebec City,24230181,Downtown
Quebec City,24230182,Downtown
Quebec City,24230183,Downtown
Quebec City,24230185,Downtown
Quebec City,24230188,Downtown
Quebec City,24230189,Downtown
Quebec City,24230190,Downtown
Quebec City,24230191,Downtown
Quebec City,24230192,Downtown
Quebec City,24230193,Downtown
Quebec City,24230850,Downtown
Quebec City,24230866,Downtown
Quebec City,24230869,Downtown
Quebec City,24230870,Downtown
Quebec City,24230871,Downtown
Quebec City,24230872,Downtown
Quebec City,24230873,Downtown
Quebec City,24230874,Downtown
Quebec City,24230875,Downtown
Quebec City,24230876,Downtown
Quebec City,24230882,Downtown
Quebec City,24230883,Downtown
Quebec City,24230884,Downtown
Quebec City,24230898,Downtown
Quebec City,24230915,Downtown
Quebec City,24231032,Downtown
Quebec City,24231036,Downtown
Longueuil,24580035,Downtown
Longueuil,24580036,Downtown
Longueuil,24580037,Downtown
Longueuil,24580038,Downtown
Longueuil,24580039,Downtown
Longueuil,24580040,Downtown
Longueuil,24580041,Downtown
Longueuil,24580042,Downtown
Longueuil,24580125,Downtown
Longueuil,24580126,Downtown
Longueuil,24580127,Downtown
Longueuil,24580128,Downtown
Longueuil,24580132,Downtown
Longueuil,24580134,Downtown
Longueuil,24580135,Downtown
Longueuil,24580136,Downtown
Longueuil,24580137,Downtown
Longueuil,24580138,Downtown
Longueuil,24580139,Downtown
Longueuil,24580140,Downtown
Longueuil,24580144,Downtown
Longueuil,24580687,Downtown
Montreal,24661080,Downtown
Montreal,24661081,Downtown
Montreal,24661082,Downtown
Montreal,24661083,Downtown
Montreal,24661084,Downtown
Montreal,24661086,Downtown
Montreal,24661087,Downtown
Montreal,24661093,Downtown
Montreal,24661094,Downtown
Montreal,24661099,Downtown
Montreal,24661100,Downtown
Montreal,24661102,Downtown
Montreal,24661103,Downtown
Montreal,24661104,Downtown
Montreal,24661105,Downtown
Montreal,24661106,Downtown
Montreal,24661108,Downtown
Montreal,24661109,Downtown
Montreal,24661110,Downtown
Montreal,24661111,Downtown
Montreal,24661113,Downtown
Montreal,24661114,Downtown
Montreal,24661116,Downtown
Montreal,24661117,Downtown
Montreal,24661118,Downtown
Montreal,24661119,Downtown
Montreal,24661120,Downtown
Montreal,24661121,Downtown
Montreal,24661122,Downtown
Montreal,24661123,Downtown
Montreal,24661124,Downtown
Montreal,24661242,Downtown
Montreal,24661255,Downtown
Montreal,24661256,Downtown
Montreal,24661257,Downtown
Montreal,24661258,Downtown
Montreal,24661259,Downtown
Montreal,24661260,Downtown
Montreal,24661261,Downtown
Montreal,24661262,Downtown
Montreal,24661263,Downtown
Montreal,24661264,Downtown
Montreal,24661265,Downtown
Montreal,24661269,Downtown
Montreal,24661270,Downtown
Montreal,24661271,Downtown
Montreal,24661272,Downtown
Montreal,24661273,Downtown
Montreal,24661276,Downtown
Montreal,24661277,Downtown
Montreal,24661278,Downtown
Montreal,24661279,Downtown
Montreal,24661280,Downtown
Montreal,24661281,Downtown
Montreal,24661282,Downtown
Montreal,24661284,Downtown
Montreal,24661285,Downtown
Montreal,24661286,Downtown
Montreal,24661848,Downtown
Montreal,24661849,Downtown
Montreal,24661856,Downtown
Montreal,24661857,Downtown
Montreal,24661858,Downtown
Montreal,24661859,Downtown
Montreal,24661860,Downtown
Montreal,24661926,Downtown
Montreal,24661927,Downtown
Montreal,24661928,Downtown
Montreal,24661929,Downtown
Montreal,24661936,Downtown
Montreal,24661937,Downtown
Montreal,24661940,Downtown
Montreal,24661942,Downtown
Montreal,24661943,Downtown
Montreal,24661944,Downtown
Montreal,24662114,Downtown
Montreal,24662115,Downtown
Montreal,24662116,Downtown
Montreal,24662140,Downtown
Montreal,24662141,Downtown
Montreal,24663242,Downtown
Montreal,24663243,Downtown
Montreal,24663246,Downtown
Montreal,24663249,Downtown
Montreal,24663344,Downtown
Montreal,24663345,Downtown
Montreal,24663346,Downtown
Montreal,24663347,Downtown
Montreal,24663348,Downtown
Montreal,24663349,Downtown
Montreal,24663350,Downtown
Montreal,24663358,Downtown
Montreal,24663359,Downtown
Montreal,24663360,Downtown
Montreal,24663361,Downtown
Montreal,24663363,Downtown
Montreal,24663365,Downtown
Montreal,24663366,Downtown
Montreal,24663367,Downtown
Montreal,24663368,Downtown
Montreal,24663369,Downtown
Montreal,24663434,Downtown
Montreal,24663436,Downtown
Montreal,24663437,Downtown
Montreal,24663438,Downtown
Montreal,24663439,Downtown
Montreal,24663441,Downtown
Montreal,24663444,Downtown
Montreal,24663445,Downtown
Montreal,24663452,Downtown
Montreal,24663453,Downtown
Montreal,24663459,Downtown
Montreal,24663460,Downtown
Montreal,24663463,Downtown
Montreal,24663464,Downtown
Montreal,24663486,Downtown
Montreal,24663488,Downtown
Montreal,24663489,Downtown
Montreal,24663490,Downtown
Montreal,24663491,Downtown
Montreal,24663492,Downtown
Montreal,24663493,Downtown
Ottawa,35060246,Downtown
Ottawa,35060249,Downtown
Ottawa,35060251,Downtown
Ottawa,35060252,Downtown
Ottawa,35060253,Downtown
Ottawa,35060254,Downtown
Ottawa,35060255,Downtown
Ottawa,35060264,Downtown
Ottawa,35060267,Downtown
Ottawa,35060313,Downtown
Ottawa,35060314,Downtown
Ottawa,35060315,Downtown
Ottawa,35060324,Downtown
Ottawa,35060325,Downtown
Ottawa,35060329,Downtown
Ottawa,35060330,Downtown
Ottawa,35060331,Downtown
Ottawa,35060332,Downtown
Ottawa,35060333,Downtown
Ottawa,35060334,Downtown
Ottawa,35060336,Downtown
Ottawa,35060337,Downtown
Ottawa,35060338,Downtown
Ottawa,35060339,Downtown
Ottawa,35060343,Downtown
Ottawa,35060345,Downtown
Ottawa,35060346,Downtown
Ottawa,35060347,Downtown
Ottawa,35060348,Downtown
Ottawa,35060353,Downtown
Ottawa,35060354,Downtown
Ottawa,35060360,Downtown
Ottawa,35060361,Downtown
Ottawa,35060367,Downtown
Ottawa,35060368,Downtown
Ottawa,35060399,Downtown
Ottawa,35060400,Downtown
Ottawa,35060401,Downtown
Ottawa,35060402,Downtown
Ottawa,35060403,Downtown
Ottawa,35060404,Downtown
Ottawa,35060405,Downtown
Ottawa,35060406,Downtown
Ottawa,35060407,Downtown
Ottawa,35060408,Downtown
Ottawa,35061020,Downtown
Ottawa,35061026,Downtown
Ottawa,35061027,Downtown
Ottawa,35061222,Downtown
Ottawa,35061225,Downtown
Ottawa,35061509,Downtown
Ottawa,35061510,Downtown
Ottawa,35061511,Downtown
Ottawa,35061512,Downtown
Ottawa,35061518,Downtown
Ottawa,35061602,Downtown
Ottawa,35061604,Downtown
Ottawa,35061608,Downtown
Ottawa,35061703,Downtown
Ottawa,35061705,Downtown
Ottawa,35061708,Downtown
Ottawa,35061709,Downtown
Ottawa,35061710,Downtown
Ottawa,35061711,Downtown
Ottawa,35061712,Downtown
Ottawa,35061713,Downtown
Ottawa,35061714,Downtown
Ottawa,35061715,Downtown
Ottawa,35061716,Downtown
Ottawa,35061717,Downtown
Ottawa,35061718,Downtown
Ottawa,35061766,Downtown
Ottawa,35061767,Downtown
Ottawa,35061768,Downtown
Ottawa,35061769,Downtown
Ottawa,35061770,Downtown
Ottawa,35061771,Downtown
Ottawa,35061772,Downtown
Ottawa,35061773,Downtown
Ottawa,35061774,Downtown
Ottawa,35061778,Downtown
Ottawa,35061779,Downtown
Ottawa,35061780,Downtown
Ottawa,35061781,Downtown
Ottawa,35061782,Downtown
Ottawa,35061783,Downtown
Ottawa,35061784,Downtown
Ottawa,35061785,Downtown
Ottawa,35061786,Downtown
Ottawa,35061787,Downtown
Ottawa,35061788,Downtown
Ottawa,35061789,Downtown
Ottawa,35061790,Downtown
Ottawa,35061791,Downtown
Ottawa,35061792,Downtown
Ottawa,35061793,Downtown
Ottawa,35061794,Downtown
Ottawa,35061795,Downtown
Ottawa,35061796,Downtown
Ottawa,35061797,Downtown
Ottawa,35061798,Downtown
Ottawa,35061799,Downtown
Ottawa,35061800,Downtown
Ottawa,35061801,Downtown
Ottawa,35061802,Downtown
Ottawa,35061803,Downtown
Kingston,35100170,Downtown
Kingston,35100171,Downtown
Kingston,35100172,Downtown
Kingston,35100173,Downtown
Kingston,35100174,Downtown
Kingston,35100175,Downtown
Kingston,35100176,Downtown
Kingston,35100178,Downtown
Kingston,35100190,Downtown
Kingston,35100191,Downtown
Kingston,35100192,Downtown
Kingston,35100193,Downtown
Kingston,35100194,Downtown
Kingston,35100195,Downtown
Kingston,35100196,Downtown
Kingston,35100197,Downtown
Kingston,35100198,Downtown
Kingston,35100199,Downtown
Peterborough,35150051,Downtown
Peterborough,35150052,Downtown
Peterborough,35150053,Downtown
Peterborough,35150055,Downtown
Peterborough,35150065,Downtown
Peterborough,35150066,Downtown
Peterborough,35150067,Downtown
Peterborough,35150068,Downtown
Peterborough,35150069,Downtown
Peterborough,35150070,Downtown
Peterborough,35150071,Downtown
Peterborough,35150072,Downtown
Peterborough,35150080,Downtown
Peterborough,35150081,Downtown
Peterborough,35150082,Downtown
Peterborough,35150083,Downtown
Peterborough,35150107,Downtown
Peterborough,35150108,Downtown
Peterborough,35150109,Downtown
Peterborough,35150110,Downtown
Peterborough,35150111,Downtown
Peterborough,35150112,Downtown
Peterborough,35150113,Downtown
Peterborough,35150114,Downtown
Peterborough,35150115,Downtown
Peterborough,35150116,Downtown
Peterborough,35150117,Downtown
Peterborough,35150213,Downtown
Peterborough,35150214,Downtown
Peterborough,35150225,Downtown
Toronto,35200755,Downtown
Toronto,35200756,Downtown
Toronto,35200757,Downtown
Toronto,35200768,Downtown
Toronto,35200769,Downtown
Toronto,35200770,Downtown
Toronto,35200771,Downtown
Toronto,35200772,Downtown
Toronto,35200774,Downtown
Toronto,35200783,Downtown
Toronto,35200792,Downtown
Toronto,35200794,Downtown
Toronto,35200795,Downtown
Toronto,35200796,Downtown
Toronto,35200797,Downtown
Toronto,35200798,Downtown
Toronto,35200801,Downtown
Toronto,35200802,Downtown
Toronto,35200803,Downtown
Toronto,35200804,Downtown
Toronto,35200805,Downtown
Toronto,35200806,Downtown
Toronto,35200807,Downtown
Toronto,35200808,Downtown
Toronto,35200809,Downtown
Toronto,35200810,Downtown
Toronto,35200811,Downtown
Toronto,35200812,Downtown
Toronto,35200813,Downtown
Toronto,35200814,Downtown
Toronto,35200815,Downtown
Toronto,35200821,Downtown
Toronto,35200822,Downtown
Toronto,35200826,Downtown
Toronto,35200827,Downtown
Toronto,35200828,Downtown
Toronto,35200829,Downtown
Toronto,35200831,Downtown
Toronto,35200832,Downtown
Toronto,35200833,Downtown
Toronto,35200855,Downtown
Toronto,35200859,Downtown
Toronto,35200860,Downtown
Toronto,35200861,Downtown
Toronto,35200862,Downtown
Toronto,35200863,Downtown
Toronto,35200864,Downtown
Toronto,35200865,Downtown
Toronto,35200866,Downtown
Toronto,35200867,Downtown
Toronto,35200868,Downtown
Toronto,35200869,Downtown
Toronto,35200870,Downtown
Toronto,35200888,Downtown
Toronto,35200889,Downtown
Toronto,35200890,Downtown
Toronto,35200891,Downtown
Toronto,35200892,Downtown
Toronto,35200893,Downtown
Toronto,35200894,Downtown
Toronto,35200895,Downtown
Toronto,35200896,Downtown
Toronto,35200897,Downtown
Toronto,35200898,Downtown
Toronto,35200899,Downtown
Toronto,35200900,Downtown
Toronto,35200901,Downtown
Toronto,35200902,Downtown
Toronto,35200903,Downtown
Toronto,35200905,Downtown
Toronto,35200906,Downtown
Toronto,35200907,Downtown
Toronto,35200908,Downtown
Toronto,35200909,Downtown
Toronto,35201028,Downtown
Toronto,35201029,Downtown
Toronto,35201030,Downtown
Toronto,35201031,Downtown
Toronto,35201032,Downtown
Toronto,35201033,Downtown
Toronto,35201034,Downtown
Toronto,35201035,Downtown
Toronto,35201036,Downtown
Toronto,35201038,Downtown
Toronto,35201039,Downtown
Toronto,35201040,Downtown
Toronto,35201041,Downtown
Toronto,35201044,Downtown
Toronto,35201045,Downtown
Toronto,35201046,Downtown
Toronto,35201047,Downtown
Toronto,35201048,Downtown
Toronto,35201049,Downtown
Toronto,35201050,Downtown
Toronto,35201051,Downtown
Toronto,35201052,Downtown
Toronto,35201053,Downtown
Toronto,35201054,Downtown
Toronto,35201055,Downtown
Toronto,35201056,Downtown
Toronto,35201057,Downtown
Toronto,35201058,Downtown
Toronto,35201059,Downtown
Toronto,35201060,Downtown
Toronto,35201061,Downtown
Toronto,35201062,Downtown
Toronto,35201063,Downtown
Toronto,35201436,Downtown
Toronto,35201437,Downtown
Toronto,35202812,Downtown
Toronto,35202813,Downtown
Toronto,35202814,Downtown
Toronto,35202817,Downtown
Toronto,35202818,Downtown
Toronto,35202819,Downtown
Toronto,35202820,Downtown
Toronto,35202821,Downtown
Toronto,35202823,Downtown
Toronto,35202840,Downtown
Toronto,35202842,Downtown
Toronto,35202843,Downtown
Toronto,35202845,Downtown
Toronto,35202846,Downtown
Toronto,35202847,Downtown
Toronto,35202848,Downtown
Toronto,35202849,Downtown
Toronto,35202850,Downtown
Toronto,35203176,Downtown
Toronto,35203183,Downtown
Toronto,35203184,Downtown
Toronto,35203991,Downtown
Toronto,35204004,Downtown
Toronto,35204019,Downtown
Toronto,35204021,Downtown
Toronto,35204091,Downtown
Toronto,35204157,Downtown
Toronto,35204228,Downtown
Toronto,35204229,Downtown
Toronto,35204230,Downtown
Toronto,35204245,Downtown
Toronto,35204246,Downtown
Toronto,35204275,Downtown
Toronto,35204562,Downtown
Toronto,35204563,Downtown
Toronto,35204564,Downtown
Toronto,35204565,Downtown
Toronto,35204566,Downtown
Toronto,35204567,Downtown
Toronto,35204578,Downtown
Toronto,35204579,Downtown
Toronto,35204580,Downtown
Toronto,35204581,Downtown
Toronto,35204582,Downtown
Toronto,35204583,Downtown
Toronto,35204584,Downtown
Toronto,35204585,Downtown
Toronto,35204586,Downtown
Toronto,35204587,Downtown
Toronto,35204589,Downtown
Toronto,35204590,Downtown
Toronto,35204591,Downtown
Toronto,35204592,Downtown
Toronto,35204593,Downtown
Toronto,35204594,Downtown
Toronto,35204595,Downtown
Toronto,35204596,Downtown
Toronto,35204597,Downtown
Toronto,35204598,Downtown
Toronto,35204599,Downtown
Toronto,35204600,Downtown
Toronto,35204601,Downtown
Toronto,35204602,Downtown
Toronto,35204603,Downtown
Toronto,35204605,Downtown
Toronto,35204606,Downtown
Toronto,35204607,Downtown
Toronto,35204608,Downtown
Toronto,35204609,Downtown
Toronto,35204610,Downtown
Toronto,35204611,Downtown
Toronto,35204612,Downtown
Toronto,35204613,Downtown
Toronto,35204614,Downtown
Toronto,35204615,Downtown
Toronto,35204616,Downtown
Toronto,35204617,Downtown
Toronto,35204618,Downtown
Toronto,35204620,Downtown
Toronto,35204621,Downtown
Toronto,35204622,Downtown
Toronto,35204623,Downtown
Toronto,35204624,Downtown
Toronto,35204650,Downtown
Toronto,35204652,Downtown
Toronto,35204653,Downtown
Toronto,35204655,Downtown
Toronto,35204656,Downtown
Toronto,35204819,Downtown
Toronto,35204820,Downtown
Toronto,35204821,Downtown
Toronto,35204822,Downtown
Toronto,35204823,Downtown
Toronto,35204824,Downtown
Toronto,35204825,Downtown
Toronto,35204826,Downtown
Toronto,35204841,Downtown
Toronto,35204842,Downtown
Toronto,35204843,Downtown
Toronto,35204844,Downtown
Toronto,35204845,Downtown
Toronto,35204882,Downtown
Toronto,35204883,Downtown
Toronto,35204894,Downtown
Toronto,35204895,Downtown
Toronto,35204896,Downtown
Toronto,35204897,Downtown
Toronto,35204898,Downtown
Toronto,35204899,Downtown
Toronto,35204900,Downtown
Toronto,35204901,Downtown
Toronto,35204902,Downtown
Toronto,35204922,Downtown
Toronto,35204923,Downtown
Toronto,35204941,Downtown
Toronto,35204942,Downtown
Toronto,35204993,Downtown
Toronto,35204994,Downtown
Toronto,35204995,Downtown
Toronto,35204996,Downtown
Toronto,35204997,Downtown
Toronto,35204998,Downtown
Toronto,35205060,Downtown
Toronto,35205061,Downtown
Toronto,35205062,Downtown
Toronto,35205063,Downtown
St. Catharines,35260382,Downtown
St. Catharines,35260383,Downtown
St. Catharines,35260384,Downtown
St. Catharines,35260385,Downtown
St. Catharines,35260386,Downtown
St. Catharines,35260387,Downtown
St. Catharines,35260388,Downtown
St. Catharines,35260389,Downtown
St. Catharines,35260390,Downtown
St. Catharines,35260438,Downtown
St. Catharines,35260439,Downtown
St. Catharines,35260440,Downtown
St. Catharines,35260441,Downtown
St. Catharines,35260442,Downtown
St. Catharines,35260443,Downtown
St. Catharines,35260445,Downtown
St. Catharines,35260446,Downtown
St. Catharines,35260447,Downtown
St. Catharines,35260448,Downtown
St. Catharines,35260449,Downtown
